epoch,accuracy,loss,val_accuracy,val_loss
0,0.7379999756813049,0.7542815804481506,0.8349999785423279,0.36479127407073975
1,0.8389999866485596,0.3801873028278351,0.8774999976158142,0.3030868470668793
2,0.8849999904632568,0.29024145007133484,0.9075000286102295,0.25514209270477295
3,0.8889999985694885,0.26423320174217224,0.8512499928474426,0.4001957178115845
4,0.9039999842643738,0.22938774526119232,0.893750011920929,0.273298442363739
5,0.9330000281333923,0.16567251086235046,0.9100000262260437,0.2693715989589691
6,0.9470000267028809,0.13781017065048218,0.8337500095367432,0.5602720379829407
7,0.9419999718666077,0.14723099768161774,0.90625,0.30904385447502136
8,0.9559999704360962,0.11559255421161652,0.8824999928474426,0.3751016855239868
9,0.9639999866485596,0.10311317443847656,0.8962500095367432,0.3670404553413391
